Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT850,LTE700,LTE850,LTE1800,LTE2100,NR700,NR1800,NR2100,NR3600,NR26000,Co_funded,Co_contribution_program,Round
2024,TPG,2000053,-33.87735,151.20892,,,Y,Y,Y,,,,,,,,
2024,TPG,2000054,-33.87053,151.21182,,,Y,Y,Y,,,,,,,,
2024,TPG,2000056,-33.87371,151.20689,,,Y,Y,Y,,,,,,,,
2024,TPG,2000057,-33.86826,151.20446,,,Y,Y,Y,,,,,,,,
2024,TPG,2000058,-33.86827,151.21132,,,Y,Y,Y,,,,,,,,
2024,TPG,2000059,-33.86305,151.21143,,,,Y,,Y,,,,,,,
2024,TPG,2000060,-33.863747,151.207082,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000062,-33.87273,151.20745,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000071,-33.866846,151.206897,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000072,-33.875288,151.199807,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000074,-33.866756,151.207995,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000077,-33.856468,151.20667,,,Y,Y,Y,,,,,,,,
2024,TPG,2000085,-33.864025,151.203695,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000088,-33.86289,151.20737,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000102,-33.86179,151.21007,,,Y,Y,,,,,,,,,
2024,TPG,2000108,-33.86872,151.20513,,,,Y,Y,,,,,,,,
2024,TPG,2000110,-33.8713,151.20483,,,,Y,Y,,,,,,,,
2024,TPG,2000118,-33.882,151.20704,,,,Y,Y,,,,,,,,
2024,TPG,2000132,-33.87828,151.20745,,,,Y,Y,,,,,,,,
2024,TPG,2000133,-33.870836,151.208288,,,,Y,Y,,,,,,,,
2024,TPG,2000135,-33.86387,151.2092,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000136,-33.873435,151.19905,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000142,-33.86279,151.2084,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000143,-33.87568,151.20886,,,Y,Y,,Y,,,Y,,,,
2024,TPG,2000146,-33.86648,151.20533,,,Y,Y,Y,,,,,,,,
2024,TPG,2000151,-33.8699,151.2018,,,Y,Y,Y,,,,,,,,
2024,TPG,2000153,-33.88009,151.20644,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000153,-33.88075,151.206228,,,Y,Y,,Y,,,,,,,
2024,TPG,2000156,-33.876824,151.206638,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000156,-33.876824,151.206638,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000159,-33.87311,151.20977,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000163,-33.864622,151.209155,,,Y,Y,Y,,,,,,,,
2024,TPG,2000165,-33.867911,151.209625,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000167,-33.86675,151.21144,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000169,-33.85795,151.21478,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000170,-33.87042,151.2081,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000170,-33.869978,151.207692,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000172,-33.871757,151.20991,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000173,-33.874085,151.201544,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000174,-33.877779,151.207618,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000176,-33.87649,151.205753,,,Y,Y,Y,,,,,,,,
2024,TPG,2000177,-33.865727,151.202811,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000177,-33.86581,151.20286,,,Y,Y,Y,,,,,,,,
2024,TPG,2000181,-33.87157,151.20434,,,Y,Y,Y,,,,,,,,
2024,TPG,2000183,-33.872023,151.207481,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000185,-33.861478,151.206496,,,Y,Y,,Y,,,,,,,
2024,TPG,2000191,-33.86926,151.20389,,,Y,Y,,Y,,,,,,,
2024,TPG,2000209,-33.879881,151.2033,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000211,-33.86867,151.21117,,,Y,,,,,,,,,,
2024,TPG,2000212,-33.874779,151.204425,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000214,-33.869,151.21,,,,Y,Y,,,,,,,,
2024,TPG,2000225,-33.86736,151.20409,,,Y,,,,,,,,,,
2024,TPG,2000226,-33.86837,151.2067,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000227,-33.86597,151.20461,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000228,-33.86715,151.21044,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000229,-33.86463,151.2114,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000230,-33.86466,151.20436,,,Y,Y,,,,,,,,,
2024,TPG,2000231,-33.871629,151.209117,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000233,-33.867561,151.211746,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000234,-33.866754,151.209487,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000236,-33.8645,151.21003,,,Y,Y,Y,,,Y,Y,,,,
2024,TPG,2000238,-33.86788,151.20685,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000241,-33.867615,151.203897,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000242,-33.86479,151.20751,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000243,-33.861667,151.207667,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000250,-33.874558,151.206751,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000259,-33.8761,151.20811,,,Y,Y,Y,,,,,,,,
2024,TPG,2000267,-33.872626,151.203954,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000269,-33.841792,151.210581,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000273,-33.87085,151.20963,,,Y,Y,Y,,,,,,,,
2024,TPG,2000286,-33.86645,151.20217,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000288,-33.87361,151.20235,,,Y,,,,,,,,,,
2024,TPG,2000289,-33.864562,151.2131,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000290,-33.862043,151.205318,,,Y,Y,,,,,,,,,
2024,TPG,2000293,-33.8645,151.2126,,,Y,Y,Y,,,,,,,,
2024,TPG,2000300,-33.870754,151.204619,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000303,-33.85792,151.20312,,,Y,Y,Y,,,,,,,,
2024,TPG,2000307,-33.8774,151.2086,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000317,-33.869922,151.206116,,,Y,Y,,,,,,,,,
2024,TPG,2000333,-33.862231,151.206846,,,Y,Y,,Y,,,,,,,
2024,TPG,2000337,-33.872368,151.208998,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000346,-33.878151,151.207444,,,Y,Y,Y,,,,,,,,
2024,TPG,2000347,-33.869922,151.206116,,,Y,Y,,,,,,,,,
2024,TPG,2000348,-33.88041,151.20568,,,Y,Y,,,,,,,,,
2024,TPG,2000349,-33.88041,151.20568,,,Y,Y,,,,,,,,,
2024,TPG,2000350,-33.873361,151.211058,,,Y,Y,,,,,,,,,
2024,TPG,2000351,-33.879134,151.208035,,,Y,Y,,,,,,,,,
2024,TPG,2000355,-33.866824,151.206537,,,Y,Y,Y,,,,,,,,
2024,TPG,2000364,-33.872529,151.207237,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000366,-33.863065,151.203417,,,Y,Y,Y,Y,,,Y,Y,,,
2024,TPG,2000371,-33.865254,151.204146,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000372,-33.859194,151.201379,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000375,-33.87749,151.20967,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000376,-33.867833,151.208741,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2000381,-33.86897,151.21026,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000383,-33.86867,151.20967,,,Y,Y,,Y,,,,,,,
2024,TPG,2000387,-33.862505,151.207871,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000388,-33.87362,151.20359,,,Y,Y,Y,,,,,,,,
2024,TPG,2000391,-33.86956,151.203305,,,Y,Y,,Y,,,,,,,
2024,TPG,2000393,-33.876907,151.200788,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000396,-33.86238,151.21275,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000414,-33.8599,151.2221,,,,Y,Y,,,,,,,,
2024,TPG,2000414,-33.8613,151.2213,,,,Y,,,,,,,,,
2024,TPG,2000414,-33.8614,151.2217,,,,Y,,,,,,,,,
2024,TPG,2000414,-33.8679,151.216,,,,Y,,,,,,,,,
2024,TPG,2000414,-33.859,151.213667,,,,Y,Y,,,,,,,,
2024,TPG,2000414,-33.8585,151.2156,,,,Y,Y,,,,,,,,
2024,TPG,2000444,-33.86531,151.21102,,,Y,Y,Y,,,,,,,,
2024,TPG,2000477,-33.867508,151.206676,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000619,-33.8736,151.20043,,,,Y,Y,,,,,,,,
2024,TPG,2000623,-33.8606025,151.2092648,,,,Y,Y,,,,,,,,
2024,TPG,2000624,-33.870932,151.20223,,,,Y,Y,,,,,,,,
2024,TPG,2000625,-33.87585,151.20006,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000637,-33.855726,151.208748,,,,Y,Y,,,,,,,,
2024,TPG,2000646,-33.87735,151.20338,,,,Y,Y,,,,,,,,
2024,TPG,2000647,-33.87685,151.19954,,,,Y,Y,,,,,,,,
2024,TPG,2000649,-33.878622,151.203155,,,Y,Y,Y,,,,,,,,
